Flow Size (Bytes), FCT (ns) Flow 1, Standalone FCT (ns) Flow 1, FCT (ns) Flow 2, Standalone FCT (ns) Flow 2, FCT (ns) Flow 3, Standalone FCT (ns) Flow 3
5212160, 5242060, 1752602, 38102650, 17587165, 37218985, 17587165
5258240, 5280276, 1768055, 38236649, 17587165, 37059430, 17587165
5304320, 5318491, 1783507, 38277940, 17587165, 37015469, 17587165
5350400, 5356707, 1798959, 38233278, 17587165, 37118115, 17587165
5396480, 5394922, 1814411, 38230787, 17587165, 37138724, 17587165
5442560, 5433138, 1829863, 38150476, 17587165, 37261273, 17587165
5488640, 5471354, 1845315, 38258024, 17587165, 37130175, 17587165
5534720, 5509569, 1860768, 38293289, 17587165, 37093114, 17587165
5580800, 5547450, 1876220, 38261860, 17587165, 37155464, 17587165
5626880, 5586000, 1891672, 38222163, 17587165, 37229702, 17587165
5672960, 5624216, 1907124, 38289452, 17587165, 37312657, 17587165
5719040, 5662782, 1922592, 38193494, 17587165, 37460000, 17587165
5765120, 5700997, 1938044, 38206014, 17587165, 37463193, 17587165
5811200, 5739213, 1953496, 38324538, 17587165, 37316883, 17587165
5857280, 5777428, 1968948, 38253164, 17587165, 37397103, 17587165
5903360, 5815644, 1984400, 38304871, 17587165, 37365108, 17587165
5949440, 5854195, 1999852, 38399230, 17587165, 37339680, 17587165
5995520, 5892075, 2015304, 38182105, 17587165, 37666361, 17587165
6041600, 5930626, 2030757, 38338811, 17587165, 37457738, 17587165
6087680, 5969176, 2046209, 38215964, 17587165, 37649030, 17587165
6133760, 6007727, 2061661, 38210521, 17587165, 37670484, 17587165
6179840, 6046278, 2077113, 38249965, 17587165, 37626283, 17587165
6225920, 6084828, 2092565, 38362045, 17587165, 37556490, 17587165
6272000, 6123379, 2108017, 38408470, 17587165, 37705230, 17587165
6318080, 6162279, 2123485, 38585193, 17587165, 37519715, 17587165
6364160, 6200495, 2138937, 38561398, 17587165, 37570657, 17587165
6410240, 6238711, 2154389, 38422849, 17587165, 37775030, 17587165
6456320, 6276926, 2169841, 38463537, 17587165, 37808918, 17587165
6502400, 6315142, 2185294, 38601534, 17587165, 37635531, 17587165
6548480, 6353357, 2200746, 38520422, 17587165, 37764669, 17587165
6594560, 6391573, 2216198, 38594239, 17587165, 37705215, 17587165
6640640, 6429789, 2231650, 38509760, 17587165, 37855768, 17587165
6686720, 6468004, 2247102, 38491414, 17587165, 37883343, 17587165
6732800, 6506220, 2262554, 38495054, 17587165, 37891235, 17587165
6778880, 6544435, 2278007, 38646280, 17587165, 37700029, 17587165
6824960, 6582651, 2293459, 38497897, 17587165, 37917587, 17587165
