Flow Size (Bytes), FCT (ns) Flow 1, Standalone FCT (ns) Flow 1, FCT (ns) Flow 2, Standalone FCT (ns) Flow 2, FCT (ns) Flow 3, Standalone FCT (ns) Flow 3
5120, 9451, 6370, 40237769, 17587165, 30091799, 17587165
20480, 24641, 11516, 40243030, 17587165, 30095934, 17587165
51200, 55707, 21822, 35481568, 17587165, 35552511, 17587165
102400, 103341, 38990, 35587220, 17587165, 35776743, 17587165
409600, 781112, 142009, 35110547, 17587165, 36419221, 17587165
819200, 1284718, 279379, 36482147, 17587165, 35305244, 17587165
5242880, 5269760, 1762894, 38204591, 17587165, 37087683, 17587165
31457280, 29189573, 10554164, 48653016, 17587165, 48795513, 17587165
