Flow Size (Bytes), FCT (ns) Flow 1, Standalone FCT (ns) Flow 1, FCT (ns) Flow 2, Standalone FCT (ns) Flow 2, FCT (ns) Flow 3, Standalone FCT (ns) Flow 3
5120, 40438, 6370, , , , 
20480, 50603, 11516, , , , 
51200, 71284, 21822, , , 313677764, 175829863
102400, 112553, 38990, , , 313677764, 175829863
409600, 411437, 142009, , , 313677764, 175829863
819200, 832404, 279379, , , 313677764, 175829863
5242880, 5139046, 1762894, , , 313677764, 175829863
31457280, 24777224, 10554164, , , 313677764, 175829863
